Keyword,EngFren_Bed 1,EngFren_Bed 2,EngFren_Bed 3,EngFren_Bed 4,EngFren_Bed 5,EngFren_Bed 6,EngFren_Bed 7,EngFren_Bed 8,EngFren_Bed 9,EngFren_Bed 10,EngFren_Bed 11,EngFren_Bed 12,EngFren_Bed 13,EngFren_Bed 14,EngFren_Bed 15,EngFren_Bed 16,EngFren_Bed 17,EngFren_Bed 18,EngFren_Bed 19,EngFren_Bed 20,EngFren_Bed 21,EngFren_Bed 22,EngFren_Bed 23,EngFren_Bed 24,EngFren_Bed 25,EngFren_Bed 26,EngFren_Bed 27,EngFren_Bed 28,EngFren_Bed 29,EngFren_Bed 30
hairstylist,profession - man [n]: coiffeur [m] pour hommes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair stylist,profession - man [n]: coiffeur [m] pour hommes; coiffeur [m] pour dames,profession - woman [n]: coiffeuse [f] pour dames; coiffeuse [f] pour hommes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hairy,body [a]: poilu; chevelu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,geography [n]: Haïti [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haitian,general [a]: haïtien,ethnology - man [n]: Haïtien [m],ethnology - woman [n]: Haïtienne [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hake,ichthyology [n]: merluche [f]; colin [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halcyon,ornithology [n]: alcyon [m]; martin-chasseur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hale,law [v]: traîner; sommer de comparaître,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hale and hearty,person [a]: en pleine santé; robuste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half,general [a]: demi,answer [a]: partiel; vague,general [n]: moitié [f],sports - soccer [n]: demi-arrière [m]; demi [m],degree [o]: à moitié,,,,,,,,,,,,,,,,,,,,,,,,,
half-volley,sports - tennis [n]: demi-volée [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halfway,general [o]: à moitié chemin; à mi-chemin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halibut,ichthyology [n]: flétan [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halitosis,medicine [n]: mauvaise haleine [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hall,meeting [n]: salle [f],house [n]: couloir [m]; corridor [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
halleluiah,religion [n]: alléluia [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallelujah,religion [n]: alléluia [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallmark,precious metal [n]: poinçon [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallo,greeting [o]: bonjour; salut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallow,religion [v]: bénir; consacrer; sacrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallowed,religion [a]: consacré; bénit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween,general [n]: halloween [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallowe'en,general [n]: halloween [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallowing,religion [n]: consécration [f]; bénédiction [f]; sacre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallucinate,medicine [v]: avoir des hallucinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallucination,medicine [n]: hallucination [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallucinatory,medicine [a]: hallucinatoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallucinogenic,medicine [a]: hallucinogène,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallway,house [n]: couloir [m]; corridor [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halo,astronomy [n]: halo [m],religion [n]: auréole [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
halt,general [n]: arrêt [m],movement [n]: arrêt [m],person [v]: arrêter; s'arrêter,hesitate [v]: hésiter; tergiverser,interjection [o]: halte; stop,,,,,,,,,,,,,,,,,,,,,,,,,
halting,general [a]: hésitant,voice [a]: hésitant; entrecoupé; haché,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halve,objects [v]: diviser en deux; couper en deux moitiés,time [v]: réduire de moitié,,,,,,,,,,,,,,,,,,,,,,,,,,,,
halyard,nautical [n]: drisse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard cider,alcoholic beverages [n]: cidre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard copy,data processing [n]: document [m] imprimé; tirage [m]; trace [f] écrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard disk,data processing [n]: disque [m] dur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-earned,general [a]: péniblement gagné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harden,general [v]: durcir,character [v]: endurcir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard feelings,anger [n]: rancune [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardfisted,behavior [a]: dur; exigeant; strict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-fisted,behavior [a]: dur; exigeant; strict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardhanded,behavior [a]: dur; exigeant; strict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-handed,action [a]: énergique; sévère; draconien,behavior [a]: dur; exigeant; strict,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-headed,character [a]: réaliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardhearted,character [a]: insensible; au cœur dur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-hearted,character [a]: insensible; au cœur dur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-hitting,criticism [a]: accablant; implacable; impitoyable; rigoureux; sans merci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardiness,people [n]: robustesse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard labor,law [n]: travaux [mp] forcés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard liquor,alcoholic beverages [n]: spiritueux [mp]; boisson [f] fortement alcoolisée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardly,general [o]: à peine; tout juste; presque pas,circumstances [o]: difficilement; à peine,barely [o]: à peine; tout juste; péniblement; ne guère,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard master,behavior - man [n]: disciplinaire [m]; homme [m] autoritaire,behavior - woman [n]: disciplinaire [m]; femme [f] autoritaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardness,material [n]: dureté [f]; rigidité [f],person [n]: sécheresse [f]; froideur [f],behavior [n]: insensibilité [f]; endurcissement [f],,,,,,,,,,,,,,,,,,,,,,,,,,,
hard of hearing,medicine [a]: dur d'oreille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard palate,anatomy [n]: voûte [f] du palais; voûte [f] palatine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-pressed,general [a]: aux abois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard roe,ichthyology - anatomy [n]: œufs [mp] de poisson,ichthyology [n]: œufs [mp] de poisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard rubber,synthetics [n]: ébonite [f]; vulcanite [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardship,lack [n]: privation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardtop,automobiles [n]: hard-top [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard to please,behavior [a]: difficile; exigeant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard to understand,problem [a]: difficile; difficile à comprendre; compliqué; complexe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardware,data processing [n]: matériel [m],material [n]: quincaillerie [f]; ferronnerie [f]; ferblanterie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardware dealer,profession - man [n]: quincaillier [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardware store,store [n]: quincaillerie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-won,general [a]: chaudement disputé; remporté de haute lutte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardwood,construction [n]: bois [m] dur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard-working,person [a]: industrieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardy,person [a]: robuste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hare,zoology [n]: lièvre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harebell,botany [n]: campanule [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harebrained,person [a]: écervelé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harelip,medicine [n]: bec-de-lièvre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harem,women [n]: harem [m],house [n]: sérail [m]; harem [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
harlequin,theater [n]: arlequin [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harm,general [n]: mal [m]; tort [m]; dommage [m],detriment [n]: détriment [m]; préjudice [m],disservice [n]: mauvais service [m]; tort [m],reputation [v]: nuire à; porter atteinte à,damage [v]: endommager; nuire à; faire tort à,,,,,,,,,,,,,,,,,,,,,,,,,
harmful,health [a]: nocif; malfaisant; nuisible; préjudiciable,body [a]: nuisible; préjudiciable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harming,health [a]: nocif; malfaisant; nuisible,body [a]: nuisible; préjudiciable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmless,living being [a]: innocent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmless to the environment,environment [a]: inoffensif pour l'environnement; inoffensif pour le milieu ambiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmonica,music - instruments [n]: harmonica [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmonious,arrangement [a]: harmonieux,music [a]: harmonieux,concordant [a]: concordant; harmonieux; d'accord,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmonium,music - instruments [n]: harmonium [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harmonization,music [n]: harmonisation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headmaster,schools - man [n]: directeur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headmistress,schools - woman [n]: directrice [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head nurse,hospital - man [n]: infirmier [m] en chef,hospital - woman [n]: infirmière [f] en chef,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head off,prevention [v]: détourner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head office,business company [n]: siège [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head of state,government - man [n]: chef [m] d'Etat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head-on,collision [a]: de front; frontal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headphones,electronics [n]: casque [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headquarters,general [n]: quartier [m] général,business company [n]: siège [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
headrest,general [n]: appuie-tête [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headset,electronics [n]: casque [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heads or tails,gambling [n]: pile [f] ou face [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headstall,saddlery [n]: têtière [f]; licou [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
head start,sports [n]: avantage [m] initial; avantage [m],time [n]: avance [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
headstone,grave [n]: pierre [f] tombale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headstrong,behavior [a]: têtu; entêté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headword,linguistics [n]: entrée [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heal,disease [v]: guérir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healable,curable [a]: guérissable; curable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart attack,medicine [n]: crise [f] cardiaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartbeat,physiology [n]: battement [m] de cœur; pulsation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartbreak,feelings [n]: déchirement [m] de cœur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartbreaking,general [a]: navrant; déchirant; qui fend le cœur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart-breaking,feelings [a]: touchant; attendrissant; émouvant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartbroken,feelings [a]: désespéré; au cœur brisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartburn,medicine [n]: brûlures [fp] d'estomac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart disease,medicine [n]: maladie [f] de cœur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hearten,hope [v]: donner du courage; encourager,encourage [v]: encourager; stimuler; réconforter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartening,encouraging [a]: encourageant; stimulant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have time for,time [v]: avoir le temps de; trouver un moment pour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have to,necessity [v]: devoir; être obligé de; être nécessaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have to be read,sequence [v]: se lire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have to pay for it,punishment [v]: devoir en payer les conséquences; devoir payer les pots cassés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have trust in,confidence [v]: croire; ajouter foi à; avoir confiance en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
having no answer,question [a]: à laquelle il est impossible de répondre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
havoc,damage [n]: dévastation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haw,botany - tree [n]: aubépine [f],botany - fruit [n]: cenelle [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,geography [n]: Hawaï [m]; Hawaii [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart failure,medicine [n]: arrêt [m] du cœur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartfelt,disgust [a]: profond; intense; sans réserve,feelings [a]: qui vient du cœur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hearth,general [n]: foyer [m],fireside [n]: foyer [m]; âtre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hearthstone,fireplace [n]: pierre [f] de la cheminée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartless,behavior [a]: cruel; impitoyable; sans pitié; sévère; insensible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartlessness,behavior [n]: cruauté [f]; sévérité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartrending,general [a]: à fendre le cœur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart's desire,wish [n]: désir [m] le plus cher; souhait [m] le plus ardent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartsick,emotional condition [a]: écœuré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartthrob,physiology [n]: battement [m] de cœur; pulsation [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have labor pains,medicine [v]: avoir les douleurs de l'enfantement; être en couches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have left,quantity [v]: rester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have left over,quantity [v]: rester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have lost,object [v]: avoir perdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have lunch,meal - noon [v]: prendre le lunch; déjeuner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haven,safety [n]: havre [m]; abri [m],protection [n]: refuge [m],nautical [n]: port [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
have-not,man [n]: déshérité [m]; pauvre [m],woman [n]: déshéritée [f]; pauvresse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
have nothing to do,boredom [v]: ne pas trop savoir quoi faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have not quite got used to the idea,emotional condition [v]: n'être pas encore fait à une idée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have-nots,people [n]: pauvres [mp]; déshérités [mp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have on,clothing [v]: porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have one's eyes on,property [v]: avoir l'œil sur; avoir des vues sur; lorgner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have one's way,satisfaction [v]: imposer sa volonté; n'en faire qu'à sa tête,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haversack,military [n]: havresac [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haves,people [n]: riches [mp]; nantis [mp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have second thoughts,reasoning [v]: commencer à avoir des doutes; changer d'avis; revenir sur sa première décision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have some more,food [v]: reprendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have space for,people [v]: contenir; pouvoir recevoir; avoir de la place pour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have supper,meal - evening [v]: dîner; souper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have the benefit of,advantage [v]: jouir; avoir la jouissance de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have the forethought to,future [v]: avoir la prévoyance de; avoir la prudence de,future [o]: penser à,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have the intention of,intention [v]: avoir l'intention de; compter; entendre; se proposer de; vouloir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,general [a]: hawaïen,language [n]: hawaïen [m],ethnology - man [n]: Hawaïen [m],ethnology - woman [n]: Hawaïenne [f],,,,,,,,,,,,,,,,,,,,,,,,,,
hawk,ornithology [n]: faucon [m],phlegm [v]: se racler la gorge; cracher,trade [v]: faire le colportage; colporter,,,,,,,,,,,,,,,,,,,,,,,,,,,
hawker,trade - man [n]: colporteur [m]; marchand [m] ambulant; camelot [m]; démarcheur [m],trade - woman [n]: colporteuse [f]; marchande [f] ambulante; marchande [f] des quatre saisons; démarcheuse [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,
hawk-eyed,person [a]: aux yeux d'aigle; à la vue perçante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hawk nose,nose [n]: nez [m] crochu; nez [m] busqué; nez [m] aquilin; nez [m] en bec d'aigle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hawk-nosed,nose [a]: au nez crochu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hawk up,phlegm [v]: se racler la gorge; cracher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heather,botany [n]: bruyère [f]; brande [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heating,general [n]: chauffage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heating appliance,apparatus [n]: appareil [m] de chauffage; chauffage [m]; radiateur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat lightning,meteorology [n]: éclair [m] en nappe; éclair [m] diffus; éclair [m] de chaleur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat pump,technical [n]: pompe [f] à chaleur; thermopompe [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat rash,medicine [n]: irritation [f] due à la chaleur; inflammation [f] due a la chaleur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heat-resistant,kitchen utensils [a]: allant au four; en pyrex,material [a]: résistant à la chaleur; thermorésistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemorrhoids,medicine [n]: hémorroïdes [fp],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemp,botany [n]: chanvre [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hen,ornithology [n]: poule [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henbane,botany [n]: jusquiame [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hence,reason [o]: dorénavant; désormais; en conséquence; par conséquent; donc; alors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henceforth,general [o]: désormais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henceforward,general [o]: désormais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henhouse,farm [n]: poulailler [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henna,botany [n]: henné [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis,medicine [n]: hépatite [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heptagon,geometry [n]: heptagone [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
her,poss. determiner - f. pl. [a]: ses,poss. determiner - f. sg. [a]: son; sa,general [o]: elle,pers. pron. - indirect object [o]: lui; à elle,pers. pron. - direct object [o]: la,,,,,,,,,,,,,,,,,,,,,,,,,
herald,future [n]: signe [m] avant-coureur; signe [m] précurseur; présage [m],future - man [n]: avant-coureur [m]; précurseur [m],future - woman [n]: avant-coureur [m]; précurseur [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
heraldic,heraldry [a]: armorial; héraldique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heraldry,general [n]: héraldique [f]; blason [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herb,botany [n]: herbe [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbaceous,botany [a]: herbacé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbal,botany [a]: fait avec des herbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbalist,science - man [n]: herboriste [m],science - woman [n]: herboriste [f],trade - man [n]: herboriste [m],trade - woman [n]: herboriste [f],,,,,,,,,,,,,,,,,,,,,,,,,,
herbal tea,medicine [n]: infusion [f]; tisane [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbicide,weed [n]: herbicide [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbivorous,animals [a]: herbivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herculean,general [a]: herculéen; d'Hercule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herd,people [n]: troupeau [m]; foule [f],animals [n]: troupeau [m],profession - man [n]: gardien [m] de troupeau,,,,,,,,,,,,,,,,,,,,,,,,,,,
herd animal,animals [n]: animal [m] grégaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herdsman,profession - man [n]: gardien [m] de troupeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
here,location [o]: ici,direction [o]: ici,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hereabout,general [o]: près d'ici; dans les environs; dans les parages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hereabouts,general [o]: près d'ici; dans les environs; dans les parages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hereafter,after this [o]: dorénavant; après ceci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
here and there,around [o]: ici et là; de tous côtés; de côté et d'autre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
here are,general [o]: voici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hereby,general [o]: par la présente; par le présent acte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hereditary,medicine [a]: héréditaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heredity,medicine [n]: hérédité [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herein,general [o]: ici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
here is,general [o]: voici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heresy,religion [n]: hérésie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heretic,religion [n]: hérétique [m/f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heretical,religion [a]: hérétique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heretofore,general [o]: jusqu'ici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hereupon,law [o]: sur ce point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage,general [n]: héritage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermaphrodite,biology [n]: hermaphrodite [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermaphroditic,biology [a]: hermaphrodite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermetic,general [a]: hermétique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermetical,general [a]: hermétique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermetically,general [o]: hermétiquement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermit,person - man [n]: ermite [m]; anachorète [m],person - woman [n]: ermite [m]; anachorète [m],behavior - man [n]: reclus [m]; solitaire [m],,,,,,,,,,,,,,,,,,,,,,,,,,,
hermitage,building [n]: ermitage [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hernia,medicine  [n]: hernie [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero,food [n]: grand sandwich [m] mixte,man [n]: héros [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,
heroic,behavior [a]: héroïque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heroin,narcotics [n]: héroïne [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heroine,woman [n]: héroïne [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heroism,behavior [n]: héroïsme [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heron,ornithology [n]: héron [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hero sandwich,food [n]: grand sandwich [m] mixte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herpes,medicine [n]: herpès [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herring,ichthyology [n]: hareng [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herringbone,sewing [n]: dessin [m] à chevrons; point [m] d'épine; point [m] croisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Her Royal Highness,title - woman [n]: Son Altesse Royale [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hers,poss. pron. - f. sg. [o]: à elle; le sien; la sienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
however,general [o]: toutefois,degree [o]: quelque; quel que soit; pour aussi ... que,nevertheless [o]: toutefois; néanmoins; cependant; pourtant,but [o]: mais; pourtant; cependant; toutefois; néanmoins,,,,,,,,,,,,,,,,,,,,,,,,,,
however much,degree [o]: quoi que,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
howitzer,artillery [n]: obusier [m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
howl,wind [n]: hurlement [m]; mugissement [m],animals [n]: hurlement [m],encouragement [v]: hurler,wind [v]: hurler; mugir,pain [v]: brailler; pleurer; vagir,animals [v]: hurler,,,,,,,,,,,,,,,,,,,,,,,,
howler,error [n]: bourde [f],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how many,number  [o]: combien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how many times,number  [o]: combien de fois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how much,degree [o]: combien,quantity [o]: combien,,,,,,,,,,,,,,,,,,,,,,,,,,,,
